# Stepper [degrees]	Lift transducer [mV/V]	stdev lift [mV/V]	Drag transducer [mV/V]	stdev drag [mV/V]
-45.000000	5.448468	0.038258	-20.103669	2.100920
-42.000000	5.432838	0.028990	-17.364475	1.125017
-39.000000	5.514953	0.045839	-15.411608	0.735845
-36.000000	5.612185	0.197988	-13.565776	1.114483
-33.000000	5.485740	0.084401	-12.217191	0.719060
-30.000000	5.439952	0.026438	-10.716775	1.736426
-27.000000	5.586115	0.204337	-8.813981	0.874547
-24.000000	6.025008	0.862375	-6.793435	0.540991
-21.000000	5.981775	0.514243	-5.536438	0.404376
-18.000000	5.877317	0.339207	-4.213790	0.537292
-15.000000	5.805233	0.083531	-3.144292	0.347622
-12.000000	5.831360	0.076462	-1.745688	0.299394
-9.000000	6.171958	0.095068	-0.137518	0.147222
-6.000000	7.197981	0.091470	1.509150	0.127497
-3.000000	8.305890	0.107210	2.325532	0.080225
0.000000	9.327408	0.101361	2.589717	0.055104
3.000000	10.396916	0.083828	2.503545	0.202570
6.000000	11.540210	0.148249	1.874443	0.168045
9.000000	12.663515	0.137339	0.431175	0.149111
12.000000	13.255648	0.277625	-1.317905	0.406468
15.000000	13.278286	0.390649	-2.668543	0.240478
18.000000	13.293075	0.341506	-3.934860	0.286572
21.000000	13.211366	0.292945	-5.056288	0.642274
24.000000	13.297701	0.383766	-6.499472	0.756275
27.000000	13.547663	0.560183	-8.494606	0.802189
30.000000	13.604976	0.367067	-10.058723	1.128621
33.000000	13.683913	0.650376	-12.113910	1.275612
36.000000	13.569028	0.349772	-13.247126	0.978453
39.000000	13.482143	0.451670	-14.591326	0.653156
42.000000	13.452555	0.315852	-16.130648	0.993324
45.000000	13.738138	0.295426	-20.036813	1.641827
